DNI,Nombre,Ocupacion,Estado Civil,Ingreso Mensual,Edad,Sexo
29070042,Yaiza de Ferrandiz,Gerente,Casado/a,2241,49,M
68527274,Lucia Estevez Casanova,Tecnico de laboratorio,Viudo/a,2827,42,F
54393034,Emiliano Marquez Berrocal,Actor,Casado/a,11611,68,M
9394060,Encarnita Farre-Cerezo,Veterinario,Soltero/a,4784,65,M
72393367,Delfina Carolina Quintanilla Bellido,Contador,Divorciado/a,8587,25,F
68700033,Candelaria Escolano Ferrando,Medico,Casado/a,5751,37,F
89729317,Cristian de Castellanos,Analista de datos,Viudo/a,2838,44,M
11941703,Amelia del Garzon,Enfermero,Soltero/a,2807,20,M
28448061,Gisela Saldana Cozar,Comerciante,Divorciado/a,5307,23,F
14890161,Esther Luque Hierro,Disenador,Viudo/a,19091,30,F
23027898,Haroldo del Aviles,Consultor,Divorciado/a,1375,18,F
29375254,Moreno Murillo Mancebo,Cantante,Viudo/a,12046,47,M
49384656,Candido Gomez Roman,Enfermero,Viudo/a,1771,45,F
23809521,Eva Roca Cabanillas,Actor,Divorciado/a,3204,61,F
47980521,Pili Maricruz Amoros Fabregat,Bombero,Viudo/a,4382,44,M
86212864,Julio Cesar Adelardo Bonilla Lozano,Comerciante,Viudo/a,11009,79,M
68495526,Eutropio Pombo,Docente,Casado/a,2319,44,F
28969521,Adrian Quintanilla Benitez,Veterinario,Viudo/a,1472,63,F
9018972,Matilde Dora Galvez Arroyo,Tecnico de laboratorio,Soltero/a,2991,24,M
86205379,Marita Santiago,Tecnico de laboratorio,Viudo/a,3198,28,M
2326028,Viviana Sacristan Grau,Fotografo,Casado/a,1914,32,M
14865034,Lucio Madrid,Comerciante,Viudo/a,1901,60,M
99839438,Felipe Alcala Barrios,Abogado,Divorciado/a,5916,61,F
3395759,Placido Moll Buendia,Biotecnologo,Casado/a,5950,35,F
16724037,Marcio Duarte Toledo,Comerciante,Casado/a,8411,24,F
15658906,Teofila Ribes Estrada,Bombero,Viudo/a,12202,32,F
22550482,Susana Portero Adan,Docente,Soltero/a,9198,78,F
92712365,Edgardo Martin Fernandez,Cientifico,Viudo/a,1443,21,F
99140158,Lupe Palomo Dalmau,Programador,Soltero/a,4745,76,M
7343661,Nieves Teodora Salom Corral,Contador,Divorciado/a,5700,67,M
5829384,Armida Llabres,Arquitecto,Viudo/a,18541,60,F
31198269,Gema Huerta Pedro,Cantante,Divorciado/a,2180,21,F
44954618,Corona Maria Carmen Gisbert Galan,Cientifico,Soltero/a,3416,50,F
50978411,Anita Vinas Bonet,Fotografo,Casado/a,8842,43,M
77987977,Bernardita Isern Aguila,Cientifico,Soltero/a,4445,39,M
87903424,Ruy Carrillo Batalla,Abogado,Viudo/a,13554,20,F
22481487,Ciro Lamas Vallejo,Arquitecto,Casado/a,7637,62,M
63757282,Arturo Galindo-Carmona,Futbolista,Casado/a,2351,39,M
92021569,Florentina Neira Ortuno,Carpintero,Soltero/a,1729,79,M
74775487,Jeronimo Palacios Armengol,Programador,Divorciado/a,6592,80,F
79958449,Olivia Carmela Crespi Carrion,Cantante,Casado/a,3782,30,F
17889306,Maria Luisa Mayoral Arenas,Tecnico de laboratorio,Casado/a,4940,59,F
54674485,Ricardo del Barragan,Marketing Digital,Viudo/a,2137,29,M
44698937,Samanta Lara Gomez,Psicologo,Divorciado/a,9141,46,F
80507221,Purificacion Duran Bustos,Bombero,Divorciado/a,10554,67,M
20826352,Mercedes Colomer Hoyos,Actor,Divorciado/a,1628,41,M
19533252,Ricardo Pozuelo-Bustos,Disenador,Viudo/a,8226,52,F
66965635,Eligio Perera Alemany,Policia,Divorciado/a,7192,41,M
50145581,Eva Ferrandez Uriarte,Marketing Digital,Soltero/a,2931,43,F
81736109,Liliana Tere Pinilla Conesa,Marketing Digital,Soltero/a,8096,31,F
20021244,Nelida Jennifer Ordonez Menendez,Enfermero,Viudo/a,9864,45,M
67300492,Mauricio Chaparro Somoza,Psicologo,Casado/a,1796,31,M
99282107,Maria Dolores Puerta Ramos,Analista de datos,Viudo/a,17157,21,M
25531667,Efrain Linares Colom,Comerciante,Soltero/a,3653,62,F
48932359,Julieta Valencia,Futbolista,Divorciado/a,3151,20,F
56175389,Silvia Codina,Programador,Soltero/a,2182,61,F
76131345,Alma Bonet Echeverria,Futbolista,Viudo/a,17799,38,M
68651948,Pio Escalona Iriarte,Actor,Viudo/a,1903,42,F
